id;texto
;
test1_01;[_shake][_wave]hola[medium]
test1_02;Que estas comiendo? [_wave]Mazapanesconchurros[high]
;
test2_01;[_shake]Que haces aqui?[low][hide][skip]
test2_02;No puedes pasar[low]
;
Prison1_01;este es el sujeto 01...[high][hide][quiet][auto][skip]
Prison1_02;de momento todos los vitales estan normales[high2][hide][quiet][auto][skip]
Prison1_03;parece que esta en estado vegetativo.[low][hide][quiet][auto][skip]
Prison1_04;si, lo parece..[high2][hide][quiet][auto][skip]
Prison1_05;vamos al siguiente[high][hide][quiet][auto][skip1]
;
Prison2_01;este es el sujeto 02[high][auto][skip1]
Prison2_02;sus vitales estan estables[high2][auto][skip1]
Prison2_03;este se mueve. aunque parece que no nos entiende[high][auto][skip1]
Prison2_04;vayamos al siguiente[high][auto][skip1]
;
PrisonDead_01;oh[high][hide][auto][skip1]
;
PrisonDead2_01;QUE HACEIS AHI PARADOS?[low][auto][skip1]
PrisonDead2_02;id a aydar[low][auto][skip1]
;
PrisonDead3_01;el sujeto 01[high][auto][skip1]
PrisonDead3_02;esta muerto[high][auto][skip1]
PrisonDead3_03;entonces habra que conformarnos con este[low][auto][skip1]
;
NotHere_01;por aqui no[low]
;
FollowMe_01;sigueme[high]
;
BlackRoomHere_01;tienes que entrar a esta sala[high]
;
NotHereW_01;por aqui no[high]
;
BlackRoomThere_01;yo estare viendo por aqui[high]
;
empezartest1_01;VAMOS A EMPEZAR EL TEST[distorted][auto][skip1]
empezartest1_02;NO PISES LAS CELDAS ILUMINADAS[distorted][auto][skip1]
;
empezartest2_01;PISA LAS CELDAS AMARILLAS[distorted][auto][skip1]
;
finaltest1_01;lo estas haciendo muy bien[high]
finaltest1_02;estos datos valen oro [high]
;
vecafe1_01;ve a traerme un cafe[high]
vecafe1_02;es por alli[high]
;
cafeporaquino_01;la cafeteria esta al final del pasillo[high]
;
cafenoexit_01;[_shake]NO PUEDES PASAR[medium]
;
sobresalto_01;oh[high2][hide][auto][skip]
;
explicacafe1_01;el cafe no se hace asi[high2]
;
explicacafe2_01;primero la leche[high2]
;
explicacafe3_01;luego el azucar[high2]
;
explicacafe4_01;y por ultimo el cafe[high2]
;
fell1_01;ESTAS BIEN?[high]
fell1_02;tienes que tener mas cuidado[high]
;
fell2_01;no te preocupes por el cafe[high]
;
segundotest_01;ya puedes entrar para la siguiente prueba[high]
;
givecoffee1_01;ya tienes el cafe[high]
;
givecoffee2_01;esta perfecto[high]
givecoffee2_02;gracias[high]
;
empezartest2_01;VAMOS A EMPEZAR EL SEGUNDO TEST[distorted][auto][skip1]
empezartest2_02;PREPARATE PORQUE ES MAS RAPIDO[distorted][auto][skip1]
;
exittest_01;YA PUEDES SALIR[distorted][auto][skip1]
;
venunsegundo_01;ven un segundo[high]
;
ropa_01;mucho mejor[high]
;
finaltest2_01;bien hecho[high]
;
otrocafeporfa_01;ve a traerme otro cafe[high]
otrocafeporfa_02;[_wave]por favor[high]
;
